---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.FileName = "LTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
 4.287829936305739e+000   8.113157397486932e-002  -2.333013445295059e-001   9.165969659371370e-002
 4.300515286624211e+000   1.271343485475184e-001  -2.340883040179999e-001   8.970046944823104e-002
 4.313200636942682e+000   1.742733647150729e-001  -2.350701097490190e-001   8.703012093293328e-002
 4.325885987261153e+000   2.223919378561208e-001  -2.361186429847410e-001   8.388261926798304e-002
 4.338571337579625e+000   2.713479462289984e-001  -2.370993165332561e-001   8.052034928976005e-002
 4.351256687898096e+000   3.209951161265621e-001  -2.378873990777045e-001   7.721790081853934e-002
 4.363942038216568e+000   3.711680238194138e-001  -2.383795632513420e-001   7.425093911971128e-002
 4.376627388535039e+000   4.216745395280959e-001  -2.385035516090175e-001   7.189020548360829e-002
 4.389312738853510e+000   4.722955831330545e-001  -2.382280403987264e-001   7.039415222486753e-002
 4.401998089171982e+000   5.227832267703694e-001  -2.375671783785243e-001   7.000167471897684e-002
 4.414683439490453e+000   5.728511114446115e-001  -2.365788909584572e-001   7.091903037428197e-002
 4.427368789808925e+000   6.221610671278325e-001  -2.353587074370511e-001   7.329367264985415e-002
 4.440054140127396e+000   6.703132631809443e-001  -2.340263187098393e-001   7.718154742719981e-002
 4.452739490445867e+000   7.168468831334781e-001  -2.327116220828784e-001   8.251241544913089e-002
 4.465424840764339e+000   7.612540435999283e-001  -2.315439275685350e-001   8.905536219685606e-002
 4.478110191082810e+000   8.030054639484188e-001  -2.306398352945870e-001   9.640078839268425e-002
 4.490795541401282e+000   8.415854680849264e-001  -2.300917219094329e-001   1.039735348283001e-001
 4.503480891719753e+000   8.765348039524147e-001  -2.299598082307181e-001   1.110859248733306e-001
 4.516166242038224e+000   9.074984867795020e-001  -2.302680126103574e-001   1.170196350421636e-001
 4.528851592356696e+000   9.342684296843762e-001  -2.310107036980621e-001   1.211213883784025e-001
