---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.FileName = "LFTM1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
 1.165921787709500e+000   6.253356677001123e-001  -1.484683905130760e-001   1.012963794570383e-001
 1.168100558659221e+000   6.356440104273016e-001  -1.488800121163963e-001   1.071403504112424e-001
 1.170279329608942e+000   6.465807401028759e-001  -1.494022124282292e-001   1.134198297788565e-001
 1.172458100558662e+000   6.581374150611292e-001  -1.500370653911125e-001   1.201359747360182e-001
 1.174636871508383e+000   6.702980731633532e-001  -1.507847779993471e-001   1.272859778437086e-001
 1.176815642458104e+000   6.830389305824588e-001  -1.516435261424810e-001   1.348630010241473e-001
 1.178994413407825e+000   6.963281912350591e-001  -1.526094036622161e-001   1.428561076948685e-001
 1.181173184357545e+000   7.101240967996800e-001  -1.536759569840074e-001   1.512492922043548e-001
 1.183351955307266e+000   7.243748326729668e-001  -1.548342918418368e-001   1.600214306785391e-001
 1.185530726256987e+000   7.390181477196728e-001  -1.560730732064183e-001   1.691460627629091e-001
 1.187709497206708e+000   7.539791910961773e-001  -1.573781912369699e-001   1.785902115888029e-001
 1.189888268156428e+000   7.691711329365832e-001  -1.587330740494588e-001   1.883145582649437e-001
 1.192067039106149e+000   7.844945989486813e-001  -1.601186942225163e-001   1.982730383188668e-001
 1.194245810055870e+000   7.998356477787382e-001  -1.615134041061603e-001   2.084115583947199e-001
 1.196424581005591e+000   8.150668018138203e-001  -1.628933242114524e-001   2.186684554155876e-001
 1.198603351955311e+000   8.300460638647009e-001  -1.642323219233735e-001   2.289739024189168e-001
 1.200782122905032e+000   8.446150281239202e-001  -1.655019483470124e-001   2.392488632078247e-001
 1.202960893854753e+000   8.586003325821787e-001  -1.666717775341672e-001   2.494060513363253e-001
 1.205139664804473e+000   8.718123883434378e-001  -1.677093285413787e-001   2.593493824291655e-001
 1.207318435754194e+000   8.840444814664278e-001  -1.685800328494179e-001   2.689738596989142e-001
 1.209497206703915e+000   8.950750864965268e-001  -1.692475271603206e-001   2.781670826677219e-001
 1.211675977653636e+000   9.046671095651976e-001  -1.696735682289829e-001   2.868091692246578e-001
 1.213854748603356e+000   9.125693034146701e-001  -1.698182199481258e-001   2.947739038152216e-001
 1.216033519553077e+000   9.185195206566347e-001  -1.696402926572556e-001   3.019305160010476e-001
 1.218212290502798e+000   9.222458344113390e-001  -1.690975532870059e-001   3.081445559180196e-001
 1.220391061452519e+000   9.234712330758862e-001  -1.681474455215653e-001   3.132803520447386e-001
 1.222569832402239e+000   9.219178947542419e-001  -1.667477161047487e-001   3.172029602734481e-001
 1.224748603351960e+000   9.173124640804325e-001  -1.648572925542008e-001   3.197807681151140e-001
 1.226927374301681e+000   9.093944884430919e-001  -1.624375878837130e-001   3.208891406013925e-001
 1.229106145251402e+000   8.979218984159654e-001  -1.594533299783978e-001   3.204126516529738e-001
 1.231284916201122e+000   8.826832660948983e-001  -1.558745396206857e-001   3.182504288734016e-001
 1.233463687150843e+000   8.635090012288934e-001  -1.516782474666866e-001   3.143206412553816e-001
 1.235642458100564e+000   8.402787473561664e-001  -1.468496400078259e-001   3.085634746469688e-001
 1.237821229050285e+000   8.129433390822607e-001  -1.413855751799404e-001   3.009504081197338e-001
 1.240000000000005e+000   7.815363266109892e-001  -1.352963896113145e-001   2.914888274588714e-001
