---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.FileName = "RLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
 1.133240223463689e+000   8.555027319302277e-001  -3.998812289806965e-001   4.869727518876560e-001
 1.135418994413410e+000   8.870982143591191e-001  -4.019120081187729e-001   4.825010406232267e-001
 1.137597765363130e+000   9.188949014927844e-001  -4.040088668206017e-001   4.781956434604855e-001
 1.139776536312851e+000   9.508872338371370e-001  -4.061697184107090e-001   4.740630378290995e-001
 1.141955307262572e+000   9.830682823739589e-001  -4.083921107980138e-001   4.701085015571804e-001
 1.144134078212293e+000   1.015429637199922e+000  -4.106731484261750e-001   4.663360837223242e-001
 1.146312849162013e+000   1.047961588205000e+000  -4.130095071545468e-001   4.627487610479737e-001
 1.148491620111734e+000   1.080653052663786e+000  -4.153973775864053e-001   4.593483693200254e-001
 1.150670391061455e+000   1.113491521926709e+000  -4.178323891217708e-001   4.561354986756360e-001
 1.152849162011176e+000   1.146463243061622e+000  -4.203096416279747e-001   4.531095946556959e-001
 1.155027932960896e+000   1.179553140254611e+000  -4.228236360742642e-001   4.502688276956287e-001
 1.157206703910617e+000   1.212744880733601e+000  -4.253682563170348e-001   4.476100517229953e-001
 1.159385474860338e+000   1.246021115223167e+000  -4.279368630061134e-001   4.451289691258220e-001
 1.161564245810059e+000   1.279363499350095e+000  -4.305222796274442e-001   4.428200527838487e-001
 1.163743016759779e+000   1.312752902871910e+000  -4.331168830455698e-001   4.406766745349745e-001
 1.165921787709500e+000   1.346169580858501e+000  -4.357126931003382e-001   4.386913029833985e-001
 1.168100558659221e+000   1.379593216085199e+000  -4.383013906099642e-001   4.368555302271833e-001
 1.170279329608942e+000   1.413003065009273e+000  -4.408744091591651e-001   4.351603137179191e-001
 1.172458100558662e+000   1.446378070854170e+000  -4.434230146757595e-001   4.335961570564655e-001
 1.174636871508383e+000   1.479696945541400e+000  -4.459383814919475e-001   4.321532503801014e-001
 1.176815642458104e+000   1.512938318459845e+000  -4.484117330485136e-001   4.308217122692618e-001
 1.178994413407825e+000   1.546080796152641e+000  -4.508344190154254e-001   4.295917113081065e-001
 1.181173184357545e+000   1.579103023936996e+000  -4.531980534461059e-001   4.284536426878271e-001
 1.183351955307266e+000   1.611983692008856e+000  -4.554945945961637e-001   4.273982215035763e-001
 1.185530726256987e+000   1.644701538590425e+000  -4.577163977343222e-001   4.264165259446822e-001
 1.187709497206708e+000   1.677235361918080e+000  -4.598563566657483e-001   4.255000961708787e-001
 1.189888268156428e+000   1.709564043696360e+000  -4.619079232293926e-001   4.246409059312131e-001
 1.192067039106149e+000   1.741666574464935e+000  -4.638651557040245e-001   4.238313726174109e-001
 1.194245810055870e+000   1.773522116711408e+000  -4.657228399786056e-001   4.230643980653838e-001
 1.196424581005591e+000   1.805110053801440e+000  -4.674764361771981e-001   4.223332907180522e-001
 1.198603351955311e+000   1.836410060566218e+000  -4.691221228843185e-001   4.216317603413936e-001
 1.200782122905032e+000   1.867402264570597e+000  -4.706568745856517e-001   4.209539009449070e-001
 1.202960893854753e+000   1.898067301981713e+000  -4.720783669847832e-001   4.202940926203226e-001
 1.205139664804473e+000   1.928386439597104e+000  -4.733850137362431e-001   4.196469672576884e-001
 1.207318435754194e+000   1.958341744536711e+000  -4.745759595249588e-001   4.190073010938805e-001
 1.209497206703915e+000   1.987916120455517e+000  -4.756509621299258e-001   4.183698951764375e-001
 1.211675977653636e+000   2.017093511969889e+000  -4.766104138498190e-001   4.177294797399806e-001
 1.213854748603356e+000   2.045859156208792e+000  -4.774553100214602e-001   4.170805801312055e-001
 1.216033519553077e+000   2.074199605494642e+000  -4.781871637518441e-001   4.164174821873912e-001
 1.218212290502798e+000   2.102103039499866e+000  -4.788080368814052e-001   4.157341570707257e-001
 1.220391061452519e+000   2.129559465507113e+000  -4.793204982227590e-001   4.150242455388728e-001
 1.222569832402239e+000   2.156560652731410e+000  -4.797275307155398e-001   4.142810762172496e-001
 1.224748603351960e+000   2.183100421942299e+000  -4.800324952072082e-001   4.134976087200341e-001
 1.226927374301681e+000   2.209174358223240e+000  -4.802388446903088e-001   4.126663623745995e-001
 1.229106145251402e+000   2.234779438336744e+000  -4.803498951565738e-001   4.117793785591996e-001
 1.231284916201122e+000   2.259913780570491e+000  -4.803684662187112e-001   4.108280643363219e-001
 1.233463687150843e+000   2.284576223797348e+000  -4.802966862015311e-001   4.098032520054762e-001
 1.235642458100564e+000   2.308766300294018e+000  -4.801360230034850e-001   4.086952956287870e-001
 1.237821229050285e+000   2.332484537702998e+000  -4.798873375909880e-001   4.074941796423285e-001
 1.240000000000005e+000   2.355733043793741e+000  -4.795513177790593e-001   4.061897291101350e-001
