---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.FileName = "LASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
 1.176815642458104e+000   1.274490782715511e+000  -1.885054525796612e-001   9.562176926862565e-001
 1.178994413407825e+000   1.295713587070656e+000  -1.889033334737888e-001   9.570024349664171e-001
 1.181173184357545e+000   1.316773975887018e+000  -1.891766679415605e-001   9.578273877964636e-001
 1.183351955307266e+000   1.337671901028802e+000  -1.893261214857603e-001   9.586949703427994e-001
 1.185530726256987e+000   1.358409005898727e+000  -1.893542454597479e-001   9.596074453035034e-001
 1.187709497206708e+000   1.378988608976207e+000  -1.892655103074926e-001   9.605667799157883e-001
 1.189888268156428e+000   1.399415322282791e+000  -1.890658812661423e-001   9.615745724915108e-001
 1.192067039106149e+000   1.419694930086992e+000  -1.887626791703849e-001   9.626319846288834e-001
 1.194245810055870e+000   1.439834279088679e+000  -1.883644396162375e-001   9.637395957660686e-001
 1.196424581005591e+000   1.459840962477747e+000  -1.878805439564423e-001   9.648974079361877e-001
 1.198603351955311e+000   1.479723207585576e+000  -1.873210890441618e-001   9.661047873324750e-001
 1.200782122905032e+000   1.499489685471795e+000  -1.866966777730670e-001   9.673603781972493e-001
 1.202960893854753e+000   1.519149301058131e+000  -1.860181865526279e-001   9.686621876133403e-001
 1.205139664804473e+000   1.538711086356464e+000  -1.852966470205927e-001   9.700075529252427e-001
 1.207318435754194e+000   1.558184037131162e+000  -1.845430540854259e-001   9.713931535360785e-001
 1.209497206703915e+000   1.577577023074037e+000  -1.837682446041516e-001   9.728151359832814e-001
 1.211675977653636e+000   1.596898695469593e+000  -1.829827684224611e-001   9.742691209773560e-001
 1.213854748603356e+000   1.616157392925904e+000  -1.821967270010468e-001   9.757502983732144e-001
 1.216033519553077e+000   1.635361136061297e+000  -1.814197300041201e-001   9.772535464416278e-001
 1.218212290502798e+000   1.654517560184799e+000  -1.806607489703386e-001   9.787734823306045e-001
 1.220391061452519e+000   1.673633907461225e+000  -1.799280206284854e-001   9.803045817909982e-001
 1.222569832402239e+000   1.692717072007710e+000  -1.792290573786011e-001   9.818412619065722e-001
 1.224748603351960e+000   1.711773581051941e+000  -1.785704978005852e-001   9.833779624478443e-001
 1.226927374301681e+000   1.730809676394875e+000  -1.779580942860374e-001   9.849092504345947e-001
 1.229106145251402e+000   1.749831389963467e+000  -1.773967554051078e-001   9.864298685867446e-001
 1.231284916201122e+000   1.768844609451565e+000  -1.768904232829332e-001   9.879348343296989e-001
 1.233463687150843e+000   1.787855221430514e+000  -1.764421587954871e-001   9.894194800607119e-001
 1.235642458100564e+000   1.806869203249485e+000  -1.760542045491391e-001   9.908794649511608e-001
 1.237821229050285e+000   1.825892791671699e+000  -1.757279359216399e-001   9.923108463920251e-001
 1.240000000000005e+000   1.844932634810992e+000  -1.754640261950046e-001   9.937100555419202e-001
