---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 1.085307262569833e+000   2.244916132510164e-001  -2.029830599984847e-001   1.230627351054585e+000
 1.087486033519553e+000   2.443978720547262e-001  -2.019267542402906e-001   1.227813097734369e+000
 1.089664804469274e+000   2.643458510759751e-001  -2.009109790459479e-001   1.225013002600709e+000
 1.091843575418995e+000   2.843401317418786e-001  -1.999390262928133e-001   1.222246242244651e+000
 1.094022346368716e+000   3.043853933422369e-001  -1.990135210166194e-001   1.219532715954729e+000
 1.096201117318436e+000   3.244863018046524e-001  -1.981363566321273e-001   1.216892619026802e+000
 1.098379888268157e+000   3.446474123171349e-001  -1.973085032722897e-001   1.214346128936323e+000
 1.100558659217878e+000   3.648730006998111e-001  -1.965297764987633e-001   1.211912795926924e+000
 1.102737430167599e+000   3.851669922449523e-001  -1.957988444843258e-001   1.209611173757736e+000
 1.104916201117319e+000   4.055328301123782e-001  -1.951130059962401e-001   1.207458256332790e+000
 1.107094972067040e+000   4.259734103784774e-001  -1.944681534075123e-001   1.205468868599552e+000
 1.109273743016761e+000   4.464911579977430e-001  -1.938589727231253e-001   1.203655555348508e+000
 1.111452513966482e+000   4.670880303434006e-001  -1.932789326170732e-001   1.202027979365766e+000
 1.113631284916202e+000   4.877656978237233e-001  -1.927206707917714e-001   1.200592843038592e+000
 1.115810055865923e+000   5.085256482965208e-001  -1.921763143425570e-001   1.199354143498348e+000
 1.117988826815644e+000   5.293692612897456e-001  -1.916377979842811e-001   1.198312969595180e+000
 1.120167597765365e+000   5.502977872771322e-001  -1.910972931822200e-001   1.197468071193602e+000
 1.122346368715085e+000   5.713122820786217e-001  -1.905474017315323e-001   1.196816242454417e+000
 1.124525139664806e+000   5.924134272026557e-001  -1.899814879978924e-001   1.196352506052691e+000
 1.126703910614527e+000   6.136013797993296e-001  -1.893937848154506e-001   1.196070654280538e+000
