---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.FileName = "RLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
 1.017765363128490e+000  -3.999755670650200e-001  -5.022407431608760e-001   4.986052939327194e-001
 1.019944134078210e+000  -3.720478178224181e-001  -5.043412052863728e-001   4.975266643279778e-001
 1.022122905027931e+000  -3.439233330387109e-001  -5.064559431435540e-001   4.965154146645945e-001
 1.024301675977652e+000  -3.156022186308619e-001  -5.085805372936303e-001   4.955810127593135e-001
 1.026480446927373e+000  -2.870849605897633e-001  -5.107102186444921e-001   4.947334207576082e-001
 1.028659217877093e+000  -2.583725594212598e-001  -5.128398980494971e-001   4.939831069547394e-001
 1.030837988826814e+000  -2.294668105808593e-001  -5.149642111226312e-001   4.933410725669583e-001
 1.033016759776535e+000  -2.003703319657345e-001  -5.170775890993055e-001   4.928187569404404e-001
 1.035195530726256e+000  -1.710866776990160e-001  -5.191742700730878e-001   4.924280302271755e-001
 1.037374301675976e+000  -1.416204327554602e-001  -5.212482992409667e-001   4.921811505425999e-001
 1.039553072625697e+000  -1.119770927948169e-001  -5.232935508053254e-001   4.920906561407108e-001
 1.041731843575418e+000  -8.216313350630725e-002  -5.253037143635948e-001   4.921693276705090e-001
 1.043910614525138e+000  -5.218603970520484e-002  -5.272722943817620e-001   4.924300897544934e-001
 1.046089385474859e+000  -2.205420397438178e-002  -5.291926368704019e-001   4.928859155292660e-001
 1.048268156424580e+000   8.222974093941807e-003  -5.310579209941305e-001   4.935497445940124e-001
 1.050446927374301e+000   3.863508127127834e-002  -5.328611703366228e-001   4.944343390342899e-001
 1.052625698324021e+000   6.917078579453764e-002  -5.345952738387566e-001   4.955521968255204e-001
 1.054804469273742e+000   9.981773184708750e-002  -5.362529776547690e-001   4.969153938129715e-001
 1.056983240223463e+000   1.305625822742587e-001  -5.378269015538075e-001   4.985354268552497e-001
 1.059162011173184e+000   1.613911068248663e-001  -5.393095612851176e-001   5.004231593366449e-001
 1.061340782122904e+000   1.922880933276532e-001  -5.406933771245959e-001   5.025886107000950e-001
 1.063519553072625e+000   2.232374590873163e-001  -5.419707271681294e-001   5.050408778201001e-001
 1.065698324022346e+000   2.542223367924930e-001  -5.431339909445503e-001   5.077881170477844e-001
 1.067877094972067e+000   2.852250402270341e-001  -5.441756230600503e-001   5.108373286481444e-001
 1.070055865921787e+000   3.162272191882993e-001  -5.450882433479912e-001   5.141943709198797e-001
 1.072234636871508e+000   3.472099536927298e-001  -5.458646927791513e-001   5.178639421289852e-001
 1.074413407821229e+000   3.781538394859310e-001  -5.464981611181803e-001   5.218493562656771e-001
 1.076592178770950e+000   4.090392498720799e-001  -5.469822243121680e-001   5.261525788515482e-001
 1.078770949720670e+000   4.398464654405750e-001  -5.473108824319394e-001   5.307741344663891e-001
 1.080949720670391e+000   4.705558692699405e-001  -5.474786540836645e-001   5.357127536779944e-001
 1.083128491620112e+000   5.011479920587074e-001  -5.474805747203075e-001   5.409653671206419e-001
 1.085307262569833e+000   5.316035345578515e-001  -5.473122734443893e-001   5.465269193984923e-001
 1.087486033519553e+000   5.619033661093499e-001  -5.469701835876598e-001   5.523900224329990e-001
 1.089664804469274e+000   5.920285667456421e-001  -5.464516160394293e-001   5.585451917186425e-001
 1.091843575418995e+000   6.219605234682053e-001  -5.457549346429340e-001   5.649807180780728e-001
 1.094022346368716e+000   6.516812039326170e-001  -5.448797795804534e-001   5.716825949111639e-001
 1.096201117318436e+000   6.811733092909539e-001  -5.438269686983265e-001   5.786348549143174e-001
 1.098379888268157e+000   7.104205279551147e-001  -5.425986221807414e-001   5.858194942164705e-001
 1.100558659217878e+000   7.394078049293057e-001  -5.411981886856743e-001   5.932166349946981e-001
 1.102737430167599e+000   7.681213264726164e-001  -5.396302844450548e-001   6.008049211494622e-001
 1.104916201117319e+000   7.965487630080246e-001  -5.379007876160699e-001   6.085615878938098e-001
 1.107094972067040e+000   8.246794051758669e-001  -5.360167772031119e-001   6.164628206084706e-001
 1.109273743016761e+000   8.525041001154016e-001  -5.339863835320144e-001   6.244840742978902e-001
 1.111452513966482e+000   8.800155302704242e-001  -5.318188612375269e-001   6.326002573469276e-001
 1.113631284916202e+000   9.072081940927237e-001  -5.295244617745682e-001   6.407860731218131e-001
 1.115810055865923e+000   9.340782494548646e-001  -5.271142947986912e-001   6.490162075107362e-001
 1.117988826815644e+000   9.606236639827088e-001  -5.246003389527235e-001   6.572655520078747e-001
 1.120167597765365e+000   9.868439917665526e-001  -5.219952652193399e-001   6.655093954092265e-001
 1.122346368715085e+000   1.012740238020809e+000  -5.193123288213174e-001   6.737234999340478e-001
 1.124525139664806e+000   1.038314966415090e+000  -5.165653295864692e-001   6.818842862195775e-001
 1.126703910614527e+000   1.063572099519059e+000  -5.137684418862990e-001   6.899688375685609e-001
 1.128882681564247e+000   1.088516841913572e+000  -5.109361275044260e-001   6.979549007445264e-001
 1.131061452513968e+000   1.113155751461335e+000  -5.080830360212161e-001   7.058209675044762e-001
 1.133240223463689e+000   1.137496478908420e+000  -5.052238563723744e-001   7.135461790506736e-001
 1.135418994413410e+000   1.161547678636987e+000  -5.023732311059769e-001   7.211103214045579e-001
 1.137597765363130e+000   1.185318918934449e+000  -4.995455999377382e-001   7.284938874229004e-001
 1.139776536312851e+000   1.208820417763667e+000  -4.967551046381754e-001   7.356780156321736e-001
 1.141955307262572e+000   1.232062967594246e+000  -4.940155019783398e-001   7.426445323119724e-001
 1.144134078212293e+000   1.255057863733895e+000  -4.913400228521915e-001   7.493760556934959e-001
 1.146312849162013e+000   1.277816817663905e+000  -4.887413761959823e-001   7.558559511590086e-001
 1.148491620111734e+000   1.300351965061218e+000  -4.862316735841849e-001   7.620684182003208e-001
 1.150670391061455e+000   1.322675863051446e+000  -4.838223345128137e-001   7.679986069487371e-001
 1.152849162011176e+000   1.344801370486147e+000  -4.815241063566539e-001   7.736325664034790e-001
