Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  2.050000000000000e+00, -4.632691461783142e-01,  2.588890894568463e-01,  1.532312794302944e-01,  7.376859122589499e-01, -3.815251983743202e-01,  1.532312794304173e-01, -2.019019554669477e-02, -5.863739776912540e-02,  2.457117864955536e-01,  1.044771200637504e+00,  8.515337339062913e-01,  1.216439227041373e-01,  3.435580700303766e-02
  2.060000000000000e+00, -4.633848336444747e-01,  2.616995660103940e-01,  1.555742102172535e-01,  7.378115741202277e-01, -3.820120415234667e-01,  1.555742102174198e-01, -1.738990165816401e-02, -6.287649939198620e-02,  2.494519031628484e-01,  1.057996616335158e+00,  8.501931303234534e-01,  1.166370384379705e-01,  3.477940302926778e-02
  2.070000000000000e+00, -4.633671682434436e-01,  2.646622955039468e-01,  1.580427136619142e-01,  7.379627250946582e-01, -3.825178606482758e-01,  1.580427136619353e-01, -1.522671393788477e-02, -6.712536083075429e-02,  2.531852521714765e-01,  1.070182671682791e+00,  8.490397822935749e-01,  1.114914286829485e-01,  3.518274743814107e-02
  2.080000000000000e+00, -4.632530832874813e-01,  2.677738050096683e-01,  1.606415953377025e-01,  7.381365228074283e-01, -3.830449020407780e-01,  1.606415953377310e-01, -1.373415468399930e-02, -7.136051342692162e-02,  2.568514537258266e-01,  1.081213058796359e+00,  8.481972061184181e-01,  1.062908870002699e-01,  3.557353441960158e-02
  2.090000000000000e+00, -4.630789327556677e-01,  2.709393044503985e-01,  1.632981862380931e-01,  7.383251731797698e-01, -3.835795997521654e-01,  1.632981862381327e-01, -1.292737441044634e-02, -7.554227135904831e-02,  2.603435811001973e-01,  1.090972540063383e+00,  8.477334472798754e-01,  1.011450305084944e-01,  3.596083987105624e-02
  2.100000000000000e+00, -4.628707113472151e-01,  2.739589940369873e-01,  1.658460079760285e-01,  7.385150639335835e-01, -3.840891394271335e-01,  1.658460079760837e-01, -1.279668926713629e-02, -7.961611505975892e-02,  2.635020463384682e-01,  1.099346582892802e+00,  8.476704582116500e-01,  9.618955863162326e-02,  3.635224832949228e-02
  2.110000000000000e+00, -4.626435972331648e-01,  2.765522815876758e-01,  1.680423056403376e-01,  7.386872540672093e-01, -3.845252494805125e-01,  1.680423056404146e-01, -1.331309987324469e-02, -8.351311427080137e-02,  2.661267125592687e-01,  1.106224539071036e+00,  8.479943279343399e-01,  9.157483565443236e-02,  3.674992370768840e-02
  2.120000000000000e+00, -4.624034200521908e-01,  2.784145410921868e-01,  1.696166646732265e-01,  7.388205576245001e-01, -3.848341319856838e-01,  1.696166646733245e-01, -1.444325542935943e-02, -8.715618644595023e-02,  2.680039298007061e-01,  1.111503861905937e+00,  8.486689237545715e-01,  8.744605523583937e-02,  3.714985967839608e-02
  2.130000000000000e+00, -4.621515341713540e-01,  2.792793964726941e-01,  1.703290648066042e-01,  7.388958940269904e-01, -3.849681074765896e-01,  1.703290648067241e-01, -1.616584601832094e-02, -9.046886420508905e-02,  2.689374653360755e-01,  1.115092596149447e+00,  8.496513783463362e-01,  8.392815056003999e-02,  3.754410379250010e-02
  2.140000000000000e+00, -4.618912376471175e-01,  2.789617270041047e-01,  1.700139924129455e-01,  7.389000724739164e-01, -3.848943133618266e-01,  1.700139924130780e-01, -1.848144456321554e-02, -9.338230835706986e-02,  2.687728613604366e-01,  1.116910156287392e+00,  8.509064097100053e-01,  8.112174526793980e-02,  3.792332883498409e-02
