Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 2.000000000000000e+000, 4.616223797319772e-001, 9.297466102963338e-001,-2.881497421749487e-001,-2.843503076177089e-002,-1.272235508652386e-002, 8.278049619844984e-003,-1.334120015995077e-001, 5.444226516535736e-002, 6.654647069498068e-002,-1.823566461644580e-001, 1.743437399203008e-002, 2.177902121106660e-001
 2.010000000000000e+000, 4.727370462570322e-001, 9.285063666788307e-001,-2.878445236158712e-001,-2.676015217800125e-002,-1.749958327053136e-002, 7.000074317900928e-003,-1.342910203735950e-001, 5.027789290687403e-002, 7.173048669560116e-002,-1.851188433282809e-001, 1.868755725704072e-002, 2.163687521232568e-001
 2.020000000000000e+000, 4.838810451077126e-001, 9.271286092716816e-001,-2.875789815460516e-001,-2.570031317249114e-002,-2.212764169761883e-002, 5.455242201099187e-003,-1.348706972924255e-001, 4.684423060163085e-002, 7.642939657109814e-002,-1.875080333566531e-001, 1.996214941077165e-002, 2.145934228405626e-001
 2.030000000000000e+000, 4.950803980468450e-001, 9.256237275350279e-001,-2.873496527984004e-001,-2.529356763568863e-002,-2.668118816819032e-002, 3.757680711435288e-003,-1.352232298367296e-001, 4.418746046322838e-002, 8.071410250659337e-002,-1.894709830402464e-001, 2.126364801393359e-002, 2.125070978097996e-001
 2.040000000000000e+000, 5.063662629242589e-001, 9.240020392817331e-001,-2.871510110369209e-001,-2.557537315177015e-002,-3.127390842592837e-002, 2.051451426160142e-003,-1.354453379895756e-001, 4.235045082508044e-002, 8.469971940445811e-002,-1.909600124584086e-001, 2.260781964281149e-002, 2.101593138928605e-001
 2.050000000000000e+000, 5.177734300242419e-001, 9.222731685640895e-001,-2.869758387941238e-001,-2.658016571847855e-002,-3.604800540948849e-002, 5.014754643236050e-004,-1.356495824979982e-001, 4.137506698274424e-002, 8.853505202727550e-002,-1.919339380200393e-001, 2.402220978496244e-002, 2.076032287198845e-001
 2.060000000000000e+000, 5.293372425417854e-001, 9.204458736037742e-001,-2.868158404228958e-001,-2.833763512609568e-002,-4.115504668546666e-002,-7.257171941902369e-004,-1.359475194486822e-001, 4.129586967844250e-002, 9.238172120927651e-002,-1.923608608710136e-001, 2.554135541364533e-002, 2.048923495675223e-001
 2.070000000000000e+000, 5.410886577240641e-001, 9.185286483619835e-001,-2.866625842342693e-001,-3.085892917299187e-002,-4.672801172725793e-002,-1.495042635208871e-003,-1.364216689381141e-001, 4.212028875921648e-002, 9.639555041317438e-002,-1.922236445013871e-001, 2.719441983843736e-002, 2.020877544984445e-001
 2.080000000000000e+000, 5.530481865335180e-001, 9.165313171737326e-001,-2.865094707060331e-001,-3.410716251134117e-002,-5.284734727812079e-002,-1.747372335967682e-003,-1.370879411376531e-001, 4.378734122081183e-002, 1.006808541166566e-001,-1.915242233877268e-001, 2.898511765150534e-002, 1.992451079445429e-001
 2.090000000000000e+000, 5.652206320980713e-001, 9.144685394354999e-001,-2.863546238765854e-001,-3.794742084798890e-002,-5.951216151594152e-002,-1.532854677829246e-003,-1.378730770096709e-001, 4.610473421974239e-002, 1.052703871742990e-001,-1.902878123725569e-001, 3.086242609318697e-002, 1.964271498322386e-001
 2.100000000000000e+000, 5.775936719366391e-001, 9.123643356764075e-001,-2.862041904433356e-001,-4.209600399116396e-002,-6.662922305118912e-002,-1.011952040607079e-003,-1.386251235105214e-001, 4.868887194209554e-002, 1.101109609350565e-001,-1.885654499403466e-001, 3.269728967620220e-002, 1.937074627895173e-001
 2.110000000000000e+000, 5.901421496234831e-001, 9.102545928008996e-001,-2.860734809415958e-001,-4.611257590084851e-002,-7.402965772377557e-002,-4.175966276467109e-004,-1.391553587299187e-001, 5.096230086890442e-002, 1.150761628930603e-001,-1.864301164031165e-001, 3.428623624073289e-002, 1.911692229251040e-001
 2.120000000000000e+000, 6.028366670102009e-001, 9.081845909218056e-001,-2.859835788083930e-001,-4.946708256780275e-002,-8.150989667822195e-002, 2.384278921454733e-006,-1.392846432364813e-001, 5.224327503378385e-002, 1.200028480255780e-001,-1.839617729473538e-001, 3.538904431366188e-002, 1.888946605872577e-001
 2.130000000000000e+000, 6.156522458111267e-001, 9.062025579273982e-001,-2.859549577758947e-001,-5.165269252224343e-002,-8.887682033437927e-002, 3.389086570381326e-005,-1.388692065343926e-001, 5.188839412397153e-002, 1.247335011820271e-001,-1.812266202519136e-001, 3.578057993835860e-002, 1.869515582076458e-001
