Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  1.940000000000000e+00,  1.440705889599144e-02,  1.443301049493884e-01,  1.943346201164716e-01,  7.287680665974740e-01, -1.778796548608375e-01,  1.142342971955788e-01
  1.950000000000000e+00,  1.976716420727562e-02,  1.412081370752003e-01,  1.930720440513069e-01,  7.147911562754049e-01, -1.833007546980433e-01,  1.213935468370173e-01
  1.960000000000000e+00,  2.485012458237374e-02,  1.380658075873658e-01,  1.920003550532849e-01,  7.003940705580163e-01, -1.879359645685030e-01,  1.281995318665114e-01
  1.970000000000000e+00,  2.966517209321297e-02,  1.349173136503896e-01,  1.911454959796771e-01,  6.856335115615398e-01, -1.918123656299346e-01,  1.346242362188269e-01
  1.980000000000000e+00,  3.422427959720013e-02,  1.317755959406530e-01,  1.905274594161649e-01,  6.705630922321060e-01, -1.949622449222436e-01,  1.406369172864576e-01
  1.990000000000000e+00,  3.854173794158845e-02,  1.286522523695885e-01,  1.901596586266939e-01,  6.552333889676230e-01, -1.974219759691038e-01,  1.462057264592924e-01
  2.000000000000000e+00,  4.263362504200773e-02,  1.255574699481228e-01,  1.900485710045883e-01,  6.396919794378773e-01, -1.992310149240660e-01,  1.512995023565593e-01
  2.010000000000000e+00,  4.651721185878804e-02,  1.224999882024949e-01,  1.901936470742895e-01,  6.239834734889017e-01, -2.004310020406680e-01,  1.558895569994542e-01
  2.020000000000000e+00,  5.021035538488992e-02,  1.194871049126565e-01,  1.905874648332272e-01,  6.081495504888530e-01, -2.010649563956406e-01,  1.599512978668617e-01
  2.030000000000000e+00,  5.373092829702096e-02,  1.165247310662567e-01,  1.912161000952175e-01,  5.922290183640637e-01, -2.011765523953231e-01,  1.634655667436578e-01
  2.040000000000000e+00,  5.709632904199904e-02,  1.136174975385458e-01,  1.920596786411591e-01,  5.762579080236719e-01, -2.008094687857630e-01,  1.664196224496242e-01
  2.050000000000000e+00,  6.032310553446429e-02,  1.107689118383124e-01,  1.930930750698678e-01,  5.602696128453415e-01, -2.000068039427114e-01,  1.688077414771223e-01
  2.060000000000000e+00,  6.342671156723262e-02,  1.079815596934672e-01,  1.942867255577031e-01,  5.442950771679442e-01, -1.988105546502243e-01,  1.706314518508482e-01
  2.070000000000000e+00,  6.642139897781228e-02,  1.052573434670978e-01,  1.956075262890732e-01,  5.283630315775598e-01, -1.972611590144462e-01,  1.718994464248418e-01
  2.080000000000000e+00,  6.932023250824305e-02,  1.025977472550199e-01,  1.970197949682894e-01,  5.125002668957294e-01, -1.953971072843822e-01,  1.726272400257737e-01
  2.090000000000000e+00,  7.213520005704289e-02,  1.000041168613077e-01,  1.984862783191484e-01,  4.967319341359052e-01, -1.932546268209263e-01,  1.728366403464262e-01
  2.100000000000000e+00,  7.487738045663851e-02,  9.747794147492561e-02,  1.999691926691244e-01,  4.810818545847055e-01, -1.908674488568081e-01,  1.725550974305556e-01
  2.110000000000000e+00,  7.755712539508372e-02,  9.502112272166130e-02,  2.014312867033765e-01,  4.655728227979181e-01, -1.882666646235835e-01,  1.718149844508169e-01
  2.120000000000000e+00,  8.018421244702037e-02,  9.263621596758398e-02,  2.028369147427395e-01,  4.502268856494031e-01, -1.854806766170739e-01,  1.706528473243243e-01
  2.130000000000000e+00,  8.276793247756961e-02,  9.032662855496354e-02,  2.041531054366463e-01,  4.350655822295476e-01, -1.825352471384587e-01,  1.691086462325918e-01
