---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 4.369514012738839e+000   2.580978378546793e-001  -2.168827868053710e-001   1.299126847120109e-001
 4.383154777070049e+000   3.077323614027007e-001  -2.188486946772581e-001   1.167470541916449e-001
 4.396795541401260e+000   3.580606110054942e-001  -2.201436517602813e-001   1.046284421982734e-001
 4.410436305732470e+000   4.089467420860620e-001  -2.206279058799952e-001   9.383183413834800e-002
 4.424077070063681e+000   4.602141434851911e-001  -2.202180416234089e-001   8.462312194774353e-002
 4.437717834394891e+000   5.115484889934424e-001  -2.188990859864955e-001   7.730072266459483e-002
 4.451358598726102e+000   5.624129013847707e-001  -2.167316345170702e-001   7.219829101493613e-002
 4.464999363057312e+000   6.120499056086639e-001  -2.138548180265406e-001   6.961221609308185e-002
 4.478640127388522e+000   6.595666353739962e-001  -2.105486571316675e-001   6.964727341568591e-002
 4.492280891719733e+000   7.039994998068393e-001  -2.071991336255928e-001   7.204378056323678e-002
 4.505921656050943e+000   7.443248580943005e-001  -2.041797705836723e-001   7.601676227564891e-002
 4.519562420382154e+000   7.795005185182427e-001  -2.017962165219821e-001   8.017949684924099e-002
 4.533203184713364e+000   8.085509745197615e-001  -2.002610425759195e-001   8.288961599250308e-002
 4.546843949044575e+000   8.308666601750206e-001  -1.996985761211414e-001   8.292588200214368e-002
 4.560484713375785e+000   8.466405025106333e-001  -2.001049496289412e-001   7.997426537611242e-002
 4.574125477706995e+000   8.570463964311431e-001  -2.012826892789032e-001   7.475980205317098e-002
 4.587766242038206e+000   8.640359179720850e-001  -2.028552010701668e-001   6.885602217947713e-002
 4.601407006369416e+000   8.698339387474989e-001  -2.043401073634501e-001   6.396177386706305e-002
 4.615047770700627e+000   8.760190359689276e-001  -2.053171967102680e-001   6.091329546722409e-002
 4.628688535031837e+000   8.824711504217869e-001  -2.057056949211318e-001   5.938175704208964e-002
 4.642329299363047e+000   8.877560381607215e-001  -2.057763476616747e-001   5.857866214614143e-002
 4.655970063694258e+000   8.911042150528514e-001  -2.058458827415727e-001   5.806827988727324e-002
 4.669610828025468e+000   8.931289063712867e-001  -2.060439008999018e-001   5.784260700685143e-002
 4.683251592356679e+000   8.945216941321039e-001  -2.063238554224979e-001   5.795082220794330e-002
 4.696892356687889e+000   8.954305721188945e-001  -2.065969641134437e-001   5.831697094949469e-002
 4.710533121019100e+000   8.959451828716780e-001  -2.068535502325473e-001   5.867907042420975e-002
 4.724173885350310e+000   8.962357583228399e-001  -2.071969303851293e-001   5.867501148913059e-002
 4.737814649681520e+000   8.963152444992237e-001  -2.076021433353562e-001   5.826356935042289e-002
 4.751455414012731e+000   8.960976997185308e-001  -2.078214564415533e-001   5.784873293317250e-002
 4.765096178343941e+000   8.955651856183208e-001  -2.077344961908832e-001   5.770736056776624e-002
 4.778736942675152e+000   8.948441806008756e-001  -2.074910146721827e-001   5.774970755983368e-002
 4.792377707006362e+000   8.943918778452976e-001  -2.073435015778179e-001   5.783777285407329e-002
 4.806018471337572e+000   8.952884257778253e-001  -2.075918897345704e-001   5.798001465638097e-002
 4.819659235668783e+000   8.992940332386323e-001  -2.086196918150711e-001   5.829865200554298e-002
 4.833299999999993e+000   9.079991125279879e-001  -2.107571210498002e-001   5.890777536472582e-002
