---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 3.933009554140108e+000  -2.448320164233188e-002  -4.982518193691794e-001   3.742765405559976e-001
 3.946650318471318e+000  -5.800225951927921e-003  -4.976534883655260e-001   3.714122743137588e-001
 3.960291082802528e+000   1.253967129910909e-002  -4.967863798888993e-001   3.688101708763231e-001
 3.973931847133738e+000   3.079345629062403e-002  -4.956563727472773e-001   3.663784754564513e-001
 3.987572611464948e+000   4.898606146477030e-002  -4.942624929323722e-001   3.639650671397458e-001
 4.001213375796158e+000   6.693727176289252e-002  -4.926610613517796e-001   3.614733543419932e-001
 4.014854140127368e+000   8.450234379775315e-002  -4.910327788341480e-001   3.590659513776110e-001
 4.028494904458579e+000   1.018537618215875e-001  -4.897377102873873e-001   3.572982940346540e-001
 4.042135668789789e+000   1.195357471650605e-001  -4.892083069504903e-001   3.569366157491842e-001
 4.055776433120999e+000   1.379782438770407e-001  -4.896268257461275e-001   3.583286331335578e-001
 4.069417197452210e+000   1.566758193517996e-001  -4.907475346914543e-001   3.608131644292769e-001
 4.083057961783420e+000   1.742226577002412e-001  -4.921858640475723e-001   3.631260785522421e-001
 4.096698726114631e+000   1.894965229140352e-001  -4.937050705484571e-001   3.644895924940462e-001
 4.110339490445841e+000   2.024810352298256e-001  -4.951481743402464e-001   3.650129789740764e-001
 4.123980254777051e+000   2.137866344897459e-001  -4.964283569868228e-001   3.651521443212409e-001
 4.137621019108262e+000   2.237747768808071e-001  -4.975876023003977e-001   3.651677752191230e-001
 4.151261783439472e+000   2.323675945954764e-001  -4.986881397364583e-001   3.650525629642420e-001
 4.164902547770683e+000   2.394518936181108e-001  -4.997372071173642e-001   3.647229360973179e-001
 4.178543312101893e+000   2.452313881662515e-001  -5.007575850861183e-001   3.641821858483470e-001
 4.192184076433104e+000   2.502159160453734e-001  -5.017867249913162e-001   3.635066103172652e-001
 4.205824840764314e+000   2.548865888136819e-001  -5.028062644220406e-001   3.627755262595008e-001
 4.219465605095524e+000   2.593552513104357e-001  -5.037853828874906e-001   3.620713837124143e-001
 4.233106369426735e+000   2.633480559478942e-001  -5.047424752491405e-001   3.614804348832443e-001
 4.246747133757945e+000   2.665648427013608e-001  -5.057096814665530e-001   3.610581980698474e-001
 4.260387898089156e+000   2.690220464450006e-001  -5.066734377868193e-001   3.607915320413447e-001
 4.274028662420366e+000   2.710244430675088e-001  -5.075669459899044e-001   3.606121375891270e-001
 4.287669426751577e+000   2.728851857475014e-001  -5.083035237200375e-001   3.604611360096921e-001
 4.301310191082787e+000   2.747209381085113e-001  -5.088174309968214e-001   3.603292908890153e-001
 4.314950955413997e+000   2.765094395356559e-001  -5.090812406765003e-001   3.602517319225426e-001
 4.328591719745208e+000   2.782499273102124e-001  -5.091038011108240e-001   3.602870588142537e-001
 4.342232484076418e+000   2.800388420310215e-001  -5.089344527933284e-001   3.604593595219359e-001
 4.355873248407629e+000   2.820051020795401e-001  -5.086318613677016e-001   3.607064906783908e-001
 4.369514012738839e+000   2.841992765676852e-001  -5.082312723661340e-001   3.609163937199292e-001
 4.383154777070049e+000   2.865973545469532e-001  -5.077818568354670e-001   3.610131990628183e-001
 4.396795541401260e+000   2.891785448543823e-001  -5.073627005129406e-001   3.610126981420827e-001
 4.410436305732470e+000   2.919819956500088e-001  -5.070358723259528e-001   3.610141826464995e-001
 4.424077070063681e+000   2.950787832787144e-001  -5.068158897495841e-001   3.610788127172403e-001
 4.437717834394891e+000   2.985282467172071e-001  -5.066751302342343e-001   3.611482807127358e-001
 4.451358598726102e+000   3.023573834268192e-001  -5.065584919936985e-001   3.611462805787639e-001
 4.464999363057312e+000   3.065397089042797e-001  -5.064107530848637e-001   3.610694581381429e-001
 4.478640127388522e+000   3.110410432585300e-001  -5.062029579585260e-001   3.610052910991609e-001
 4.492280891719733e+000   3.158795701364162e-001  -5.059177373759144e-001   3.610695995301708e-001
 4.505921656050943e+000   3.211599610321423e-001  -5.055440823856535e-001   3.613288433201024e-001
 4.519562420382154e+000   3.270668122440666e-001  -5.051221528432206e-001   3.617800248519843e-001
 4.533203184713364e+000   3.337942875209791e-001  -5.047530303984340e-001   3.623800574891886e-001
 4.546843949044575e+000   3.414777136809975e-001  -5.045455260659835e-001   3.630776747300121e-001
 4.560484713375785e+000   3.501895416402988e-001  -5.045466806554559e-001   3.638344445620187e-001
 4.574125477706995e+000   3.599351858134872e-001  -5.046796044169277e-001   3.646391602246462e-001
 4.587766242038206e+000   3.706593755373922e-001  -5.047672280668921e-001   3.655129852931188e-001
 4.601407006369416e+000   3.823433160286196e-001  -5.046548475443002e-001   3.665053013908193e-001
 4.615047770700627e+000   3.951046080332444e-001  -5.043305705024402e-001   3.676940255854511e-001
 4.628688535031837e+000   4.091531731269252e-001  -5.039034147052829e-001   3.692222369215655e-001
 4.642329299363047e+000   4.246365431753746e-001  -5.034369497203505e-001   3.713128467132820e-001
 4.655970063694258e+000   4.417146697277526e-001  -5.029604541835773e-001   3.741327266046298e-001
 4.669610828025468e+000   4.607927575788487e-001  -5.026120559927382e-001   3.776102890757959e-001
 4.683251592356679e+000   4.824408815063750e-001  -5.026223924822671e-001   3.814475132150288e-001
 4.696892356687889e+000   5.070815473453891e-001  -5.031548689137666e-001   3.852150636830688e-001
 4.710533121019100e+000   5.347719519267049e-001  -5.041393289577451e-001   3.884376833241164e-001
 4.724173885350310e+000   5.650973285833412e-001  -5.052457874851476e-001   3.908323467182691e-001
 4.737814649681520e+000   5.972031798239426e-001  -5.061715131129840e-001   3.926337961685073e-001
 4.751455414012731e+000   6.300878260016701e-001  -5.068357256471502e-001   3.944925129943611e-001
 4.765096178343941e+000   6.629197162345590e-001  -5.071857932715663e-001   3.969538969170445e-001
 4.778736942675152e+000   6.951693522600813e-001  -5.071379937850142e-001   4.002836382784478e-001
 4.792377707006362e+000   7.268777403008677e-001  -5.067843372210885e-001   4.046367511875647e-001
 4.806018471337572e+000   7.591720510577014e-001  -5.066762877040596e-001   4.101978296472034e-001
 4.819659235668783e+000   7.944175791167325e-001  -5.078896454417453e-001   4.171724491696094e-001
 4.833299999999993e+000   8.349662149716247e-001  -5.115147140011569e-001   4.255663135860237e-001
