---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.FileName = "RKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
 4.451358598726102e+000   3.346962488092000e-001  -5.042747056918021e-001   4.791052764974393e-001
 4.464999363057312e+000   3.405649809944776e-001  -5.041916117986889e-001   4.786048980347092e-001
 4.478640127388522e+000   3.469972999552734e-001  -5.039530584751797e-001   4.780647602973908e-001
 4.492280891719733e+000   3.540488761791996e-001  -5.035972732341861e-001   4.775121660162144e-001
 4.505921656050943e+000   3.617296230410297e-001  -5.032119447494693e-001   4.770111248816447e-001
 4.519562420382154e+000   3.700313715732695e-001  -5.028994837078994e-001   4.766633269661272e-001
 4.533203184713364e+000   3.789862443999867e-001  -5.027269334879991e-001   4.765240106550429e-001
 4.546843949044575e+000   3.887235757577529e-001  -5.026604289054568e-001   4.765258955454671e-001
 4.560484713375785e+000   3.994541888643408e-001  -5.025689220404553e-001   4.765183585247435e-001
 4.574125477706995e+000   4.113436999856565e-001  -5.023403502741043e-001   4.763566784459538e-001
 4.587766242038206e+000   4.244520324135977e-001  -5.019506912057856e-001   4.759827277074525e-001
 4.601407006369416e+000   4.388008555810219e-001  -5.014074790025638e-001   4.754740972078105e-001
 4.615047770700627e+000   4.544569354964977e-001  -5.007054808492349e-001   4.749993353205037e-001
 4.628688535031837e+000   4.715554055106862e-001  -4.998577403770393e-001   4.747416497385865e-001
 4.642329299363047e+000   4.902613284353763e-001  -4.989436865798565e-001   4.748476214447630e-001
 4.655970063694258e+000   5.107906562995451e-001  -4.980945735275716e-001   4.753062955218099e-001
 4.669610828025468e+000   5.333926373872694e-001  -4.974180354182146e-001   4.758744153771145e-001
 4.683251592356679e+000   5.581960546521573e-001  -4.969429323799564e-001   4.762043489107732e-001
 4.696892356687889e+000   5.851582739223634e-001  -4.966774615234310e-001   4.760093195927914e-001
 4.710533121019100e+000   6.141239311905933e-001  -4.966870861367024e-001   4.752118582624227e-001
 4.724173885350310e+000   6.448336006821148e-001  -4.970459249818350e-001   4.740592845177828e-001
 4.737814649681520e+000   6.768638953572145e-001  -4.977495648115168e-001   4.731002210145157e-001
 4.751455414012731e+000   7.095798208635682e-001  -4.986578714585508e-001   4.729419587702723e-001
 4.765096178343941e+000   7.421956092561091e-001  -4.995351233051575e-001   4.739595135934510e-001
 4.778736942675152e+000   7.740430756361293e-001  -5.002181170003618e-001   4.762398824922715e-001
 4.792377707006362e+000   8.051345881107367e-001  -5.007705392568338e-001   4.797470706102402e-001
 4.806018471337572e+000   8.367720411175600e-001  -5.016561766976446e-001   4.845755997113817e-001
 4.819659235668783e+000   8.714842214123437e-001  -5.038618085510567e-001   4.912132174046792e-001
 4.833299999999993e+000   9.114926363881368e-001  -5.083845137187844e-001   5.003519430354747e-001
